"","ID","title","authors","strategy1","strategy2","quadrant","purpose","human","system","researcher","practitioners"
"41",42,"Making Malory Behave Maliciously: Targeted Fuzzing of Android Execution Environments","Siegfried Rasthofer, Steven Arzt, Stefan Triller and Michael Pradel","ComputationalStudy",NA,"Data","Solution","TRUE","TRUE","FALSE","FALSE"
"42",43,"On Cross-stack Configuration Errors","Mohammed Sayagh, Noureddine Kerzazi and Bram Adams","ComputationalStudy","ComputationalStudy","mixed","Solution","TRUE","TRUE","TRUE","FALSE"
"43",44,"Optimizing Test Placement for Module-Level Regression Testing","August Shi, Suresh Thummalapenta, Shuvendu Lahiri, Nikolaj Bjorner and Jacek Czerwonka","ComputationalStudy","JudgmentStudy","mixed","Solution","TRUE","TRUE","FALSE","TRUE"
"44",45,"PEoPL: Projectional Editing of Product Lines","Benjamin Behringer, Jochen Palz and Thorsten Berger","ComputationalStudy","FormalTheory","mixed","Solution","TRUE","TRUE","FALSE","FALSE"
"45",46,"Performance Diagnosis for Inefficient Loops","Linhai Song and Shan Lu","ComputationalStudy",NA,"Data","Solution","TRUE","TRUE","FALSE","FALSE"
"46",47,"Precise Condition Synthesis for Program Repair","Yingfei Xiong, Jie Wang, Runfa Yan, Jiachen Zhang, Shi Han, Gang Huang and Lu Zhang","ComputationalStudy","FormalTheory","mixed","Solution","FALSE","TRUE","FALSE","FALSE"
"47",48,"ProEva: Runtime Proactive Performance Evaluation Based on Continuous-Time Markov Chains","Guoxin Su, Taolue Chen, Yuan Feng and David Rosenblum","FormalTheory","ComputationalStudy","mixed","Solution","FALSE","TRUE","FALSE","FALSE"
"48",49,"RADAR: A Lightweight Tool for Requirements and Architecture Decision Analysis","Saheed Busari and Emmanuel Letier","ComputationalStudy",NA,"Data","Solution","TRUE","TRUE","FALSE","FALSE"
"49",50,"RClassify: Classifying Race Conditions in Web Applications via Deterministic Replay","Lu Zhang and Chao Wang","ComputationalStudy",NA,"Data","Solution","TRUE","FALSE","FALSE","FALSE"
"50",51,"Recommending and Localizing Change Requests for Mobile Apps based on User Reviews","Fabio Palomba, Pasquale Salza, Adelina Ciurumelea, Sebastiano Panichella, Harald Gall, Filomena Ferrucci and Andrea De Lucia","ComputationalStudy","JudgmentStudy","mixed","Solution","TRUE","FALSE","FALSE","TRUE"
"51",52,"Repairing Event Race Errors by Controlling Nondeterminism","Christoffer Quist Adamsen, Anders Møller, Rezwana Karim, Manu Sridharan, Frank Tip and Koushik Sen","ComputationalStudy",NA,"Data","Solution","TRUE","TRUE","FALSE","FALSE"
"52",53,"SPAIN: Security Patch Analysis for Binaries - Towards Understanding the Pain and Pills","Zhengzi Xu, Bihuan Chen, Mahinthan Chandramohan, Yang Liu and Fu Song","ComputationalStudy",NA,"Data","Solution","TRUE","TRUE","FALSE","FALSE"
"53",54,"Search-driven String Constraint Solving for Vulnerability Detection","Julian Thome, Lwin Khin Shar, Domenico Bianculli and Lionel Briand","ComputationalStudy","FormalTheory","mixed","Solution","FALSE","TRUE","FALSE","FALSE"
"54",55,"Semantically Enhanced Software Traceability Using Deep Learning Techniques","Jin Guo, Jinghui Cheng and Jane Cleland-Huang","ComputationalStudy",NA,"Data","Solution","FALSE","TRUE","FALSE","FALSE"
"55",56,"Software Development Waste","Todd Sedano, Paul Ralph and Cécile Péraire","FieldStudy",NA,"Field","Descriptive","TRUE","FALSE","TRUE","TRUE"
"56",57,"Statically Checking Web API Requests in JavaScript","Erik Wittern, Annie T. T. Ying, Yunhui Zheng, Julian Dolby and Jim A. Laredo","ComputationalStudy",NA,"Data","Solution","TRUE","TRUE","FALSE","FALSE"
"57",58,"Stochastic Optimization of Program Obfuscation","Han Liu, Chengnian Sun, Zhendong Su, Yu Jiang, Ming Gu and Jiaguang Sun","ComputationalStudy","FormalTheory","mixed","Solution","TRUE","TRUE","FALSE","FALSE"
"58",59,"Supporting Software Developers with a Holistic Recommender System","Luca Ponzanelli, Simone Scalabrino, Gabriele Bavota, Andrea Mocci, Rocco Oliveto, Massimiliano Di Penta and Michele Lanza","LaboratoryExperiment","JudgmentStudy","mixed","Solution","TRUE","FALSE","FALSE","TRUE"
"59",60,"Symbolic Model Extraction for Web Application Verification","Ivan Bocic and Tevfik Bultan","ComputationalStudy",NA,"Data","Solution","TRUE","TRUE","FALSE","FALSE"
"60",61,"Syntactic and Semantic Differencing for Combinatorial Models of Test Designs","Rachel Tzoref-Brill and Shahar Maoz","FormalTheory","JudgmentStudy","mixed","Solution","TRUE","TRUE","FALSE","TRUE"
"61",62,"TRAVIOLI: A Dynamic Analysis for Detecting Data-Structure Traversals","Rohan Padhye and Koushik Sen","ComputationalStudy",NA,"Data","Solution","TRUE","TRUE","FALSE","FALSE"
"62",63,"The Evolution of Continuous Experimentation in Software Product Development","Aleksander Fabijan, Pavel Dmitriev, Helena Holmström Olsson and Jan Bosch","FieldStudy",NA,"Field","Descriptive","TRUE","FALSE","FALSE","TRUE"
"63",64,"To Type or Not to Type: Quantifying Preventable Bugs in JavaScript","Zheng Gao, Christian Bird and Earl Barr","ComputationalStudy",NA,"Data","Descriptive","TRUE","FALSE","FALSE","FALSE"
"64",65,"UML Diagram Refinement","Shmuel Tyszberowicz and David Faitelson","FormalTheory",NA,"Theory","Solution","TRUE","FALSE","FALSE","FALSE"
"65",66,"Understanding the Impressions, Motivations and Barriers of One Time Code Contributors to FLOSS Projects: A Survey","Amanda Lee, Jeffrey Carver and Amiangshu Bosu","SampleSurvey",NA,"Respondent","Descriptive","TRUE","FALSE","FALSE","TRUE"
"66",67,"Unsupervised Software-Specific Morphological Forms Inference from Informal Discussions","Chunyang Chen, Zhenchang Xing and Ximing Wang","ComputationalStudy","JudgmentStudy","mixed","Solution","TRUE","FALSE","FALSE","FALSE"
"67",68,"What Causes My Test Alarm? Automatic Cause Analysis for Test Alarms in System and Integration Testing","Jiang He, Li Xiaochen, Yang Zijiang and Xuan Jifeng","ComputationalStudy","FieldExperiment","mixed","Solution","TRUE","FALSE","FALSE","FALSE"
"68",69,"ZenIDS: Introspective Intrusion Detection for PHP Applications","Byron Hawkins and Brian Demsky","ComputationalStudy",NA,"Data","Solution","TRUE","TRUE","FALSE","FALSE"
